nummer,thema,kundensatz,antwort_des_assistenten,fallkennung
26,Betrugsangst,Das klingt für mich ehrlich gesagt unseriös.,"Ich frage in diesem Gespräch nicht nach Zahlungsdaten, Kartendaten oder Passwörtern. Sie können die Informationen über die offizielle Seite prüfen. Ich sende Ihnen dazu schriftliche Informationen.",source-informed-de-scam_or_card_fear-002
27,Betrugsangst,"Woran erkenne ich, dass das kein Betrug ist?","Ich frage in diesem Gespräch nicht nach Zahlungsdaten, Kartendaten oder Passwörtern. Sie können die Informationen über die offizielle Seite prüfen. Ich sende Ihnen dazu schriftliche Informationen.",source-informed-de-scam_or_card_fear-003
28,Zahlungsangst,Ich gebe am Telefon keine Bankdaten raus.,"Ich frage in diesem Gespräch nicht nach Zahlungsdaten, Kartendaten oder Passwörtern. Sie können die Informationen über die offizielle Seite prüfen. Ich sende Ihnen dazu schriftliche Informationen.",source-informed-de-payment_safety_fear-001
29,Zahlungsangst,Meine Karte gebe ich nicht am Telefon durch.,"Ich frage in diesem Gespräch nicht nach Zahlungsdaten, Kartendaten oder Passwörtern. Sie können die Informationen über die offizielle Seite prüfen. Ich sende Ihnen dazu schriftliche Informationen.",source-informed-de-payment_safety_fear-002
30,Zahlungsangst,Zahlungsdaten nenne ich am Telefon grundsätzlich nicht.,"Ich frage in diesem Gespräch nicht nach Zahlungsdaten, Kartendaten oder Passwörtern. Sie können die Informationen über die offizielle Seite prüfen. Ich sende Ihnen dazu schriftliche Informationen.",source-informed-de-payment_safety_fear-003
31,Support,Ich habe eigentlich ein Problem mit meinem Vertrag.,Dann ist das ein Support-Thema. Ich beende den Verkaufsteil hier und leite Sie an den zuständigen Support weiter.,source-informed-de-support_issue-001
32,Support,Das ist eher ein Support-Thema.,Dann ist das ein Support-Thema. Ich beende den Verkaufsteil hier und leite Sie an den zuständigen Support weiter.,source-informed-de-support_issue-002
33,Support,Können Sie mich mit dem Support verbinden?,Dann ist das ein Support-Thema. Ich beende den Verkaufsteil hier und leite Sie an den zuständigen Support weiter.,source-informed-de-support_issue-003
34,Kündigung,Ich möchte kündigen.,Dann geht es um eine Kündigung. Ich beende den Verkaufsteil hier und leite Sie an die zuständige Stelle für Kündigungen weiter.,source-informed-de-cancellation_request-001
35,Kündigung,Ich will meinen Vertrag beenden.,Dann geht es um eine Kündigung. Ich beende den Verkaufsteil hier und leite Sie an die zuständige Stelle für Kündigungen weiter.,source-informed-de-cancellation_request-002
36,Kündigung,Wie kann ich das kündigen?,Dann geht es um eine Kündigung. Ich beende den Verkaufsteil hier und leite Sie an die zuständige Stelle für Kündigungen weiter.,source-informed-de-cancellation_request-003
37,Technische Frage,Lässt sich das mit unserem System verbinden?,Nach den vorliegenden Informationen kann das System Zuständigkeiten für Rückrufe und Nachverfolgung abbilden. Integrationsdetails sollte eine zuständige Fachperson prüfen.,source-informed-de-technical_question-001
38,Technische Frage,Geht das technisch mit unserem CRM?,Nach den vorliegenden Informationen kann das System Zuständigkeiten für Rückrufe und Nachverfolgung abbilden. Integrationsdetails sollte eine zuständige Fachperson prüfen.,source-informed-de-technical_question-002
39,Technische Frage,Da hätte ich eine technische Frage.,Nach den vorliegenden Informationen kann das System Zuständigkeiten für Rückrufe und Nachverfolgung abbilden. Integrationsdetails sollte eine zuständige Fachperson prüfen.,source-informed-de-technical_question-003
40,Technische Frage,Lässt sich das mit unserem System verbinden?,Nach den vorliegenden Informationen kann das System Zuständigkeiten für Rückrufe und Nachverfolgung abbilden. Integrationsdetails sollte eine zuständige Fachperson prüfen.,source-informed-interp-de-technical_question-001
41,Technische Frage,Geht das technisch mit unserem CRM?,Nach den vorliegenden Informationen kann das System Zuständigkeiten für Rückrufe und Nachverfolgung abbilden. Integrationsdetails sollte eine zuständige Fachperson prüfen.,source-informed-interp-de-technical_question-002
42,Technische Frage,Da hätte ich eine technische Frage.,Nach den vorliegenden Informationen kann das System Zuständigkeiten für Rückrufe und Nachverfolgung abbilden. Integrationsdetails sollte eine zuständige Fachperson prüfen.,source-informed-interp-de-technical_question-003
43,Sicherheitsprüfung,Das muss unsere IT-Sicherheit prüfen.,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-de-security_review-001
44,Sicherheitsprüfung,Unsere Security muss da erst drüberschauen.,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-de-security_review-002
45,Sicherheitsprüfung,Haben Sie Unterlagen für die Sicherheitsprüfung?,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-de-security_review-003
46,Sicherheitsprüfung,Das muss unsere IT-Sicherheit prüfen.,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-interp-de-security_review-001
47,Sicherheitsprüfung,Unsere Security muss da erst drüberschauen.,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-interp-de-security_review-002
48,Sicherheitsprüfung,Haben Sie Unterlagen für die Sicherheitsprüfung?,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-interp-de-security_review-003
49,Sicherheitsprüfung,Das muss unsere IT-Sicherheit prüfen.,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-interp-legacy-de-security_review-001
50,Sicherheitsprüfung,Unsere Security muss da erst drüberschauen.,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-interp-legacy-de-security_review-002
51,Sicherheitsprüfung,Haben Sie Unterlagen für die Sicherheitsprüfung?,Das sollte eine zuständige Fachperson prüfen. Ich rate hier nicht und mache keine allgemeinen Zusagen.,source-informed-interp-legacy-de-security_review-003
52,Versicherungsschutz / Gesundheit,Ist das in meinem Tarif überhaupt enthalten?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-de-coverage_confusion-001
53,Versicherungsschutz / Gesundheit,Was genau ist da abgedeckt?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-de-coverage_confusion-002
54,Versicherungsschutz / Gesundheit,Gilt das auch für meinen Fall?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-de-coverage_confusion-003
55,Versicherungsschutz / Gesundheit,Ist das in meinem Tarif überhaupt enthalten?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-interp-de-coverage_confusion-001
56,Versicherungsschutz / Gesundheit,Was genau ist da abgedeckt?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-interp-de-coverage_confusion-002
57,Versicherungsschutz / Gesundheit,Gilt das auch für meinen Fall?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-interp-de-coverage_confusion-003
58,Versicherungsschutz / Gesundheit,Geht es hier um medizinische Beratung?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-de-sensitive_healthcare_concern-001
59,Versicherungsschutz / Gesundheit,Das ist ein gesundheitliches Thema.,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-de-sensitive_healthcare_concern-002
60,Versicherungsschutz / Gesundheit,Ich will keine Gesundheitsberatung am Telefon.,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-de-sensitive_healthcare_concern-003
61,Versicherungsschutz / Gesundheit,Geht es hier um medizinische Beratung?,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-interp-de-sensitive_healthcare_concern-001
62,Versicherungsschutz / Gesundheit,Das ist ein gesundheitliches Thema.,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-interp-de-sensitive_healthcare_concern-002
63,Versicherungsschutz / Gesundheit,Ich will keine Gesundheitsberatung am Telefon.,Ich darf in diesem Gespräch keine medizinische Beratung und keine Beratung zum Versicherungsschutz geben. Ich kann das an eine zuständige Fachperson weiterleiten.,source-informed-interp-de-sensitive_healthcare_concern-003
64,Bestehender Anbieter,Wir haben schon einen Anbieter.,"Ich möchte nicht behaupten, dass das Ihren Anbieter ersetzt. Sinnvoll wäre nur zu prüfen, ob trotz Ihrer aktuellen Lösung noch Rückrufe oder Nachverfolgungen liegen bleiben.",source-informed-de-existing_provider-001
65,Bestehender Anbieter,Das läuft bei uns bereits über jemand anderen.,"Ich möchte nicht behaupten, dass das Ihren Anbieter ersetzt. Sinnvoll wäre nur zu prüfen, ob trotz Ihrer aktuellen Lösung noch Rückrufe oder Nachverfolgungen liegen bleiben.",source-informed-de-existing_provider-002
66,Bestehender Anbieter,Unser aktueller Anbieter kümmert sich darum.,"Ich möchte nicht behaupten, dass das Ihren Anbieter ersetzt. Sinnvoll wäre nur zu prüfen, ob trotz Ihrer aktuellen Lösung noch Rückrufe oder Nachverfolgungen liegen bleiben.",source-informed-de-existing_provider-003
67,Bestehender Anbieter,Wir haben schon einen Anbieter.,"Ich möchte nicht behaupten, dass das Ihren Anbieter ersetzt. Sinnvoll wäre nur zu prüfen, ob trotz Ihrer aktuellen Lösung noch Rückrufe oder Nachverfolgungen liegen bleiben.",source-informed-interp-de-existing_provider-001
68,Bestehender Anbieter,Das läuft bei uns bereits über jemand anderen.,"Ich möchte nicht behaupten, dass das Ihren Anbieter ersetzt. Sinnvoll wäre nur zu prüfen, ob trotz Ihrer aktuellen Lösung noch Rückrufe oder Nachverfolgungen liegen bleiben.",source-informed-interp-de-existing_provider-002
69,Bestehender Anbieter,Unser aktueller Anbieter kümmert sich darum.,"Ich möchte nicht behaupten, dass das Ihren Anbieter ersetzt. Sinnvoll wäre nur zu prüfen, ob trotz Ihrer aktuellen Lösung noch Rückrufe oder Nachverfolgungen liegen bleiben.",source-informed-interp-de-existing_provider-003
70,Entscheidung mit Chef/Partner,Das muss ich mit meinem Chef abklären.,Ich sende Ihnen eine kurze Zusammenfassung zur Prüfung. Heute müssen Sie nichts entscheiden.,source-informed-de-needs_manager_approval-001
71,Entscheidung mit Chef/Partner,Da muss mein Vorgesetzter draufschauen.,Ich sende Ihnen eine kurze Zusammenfassung zur Prüfung. Heute müssen Sie nichts entscheiden.,source-informed-de-needs_manager_approval-002
72,Entscheidung mit Chef/Partner,Das entscheidet bei uns nicht nur ich.,Ich sende Ihnen eine kurze Zusammenfassung zur Prüfung. Heute müssen Sie nichts entscheiden.,source-informed-de-needs_manager_approval-003
73,Entscheidung mit Chef/Partner,Das muss ich mit meinem Mann besprechen.,Ich sende Ihnen eine kurze Zusammenfassung zur Prüfung. Heute müssen Sie nichts entscheiden.,source-informed-de-needs_spouse_or_partner_input-001
74,Entscheidung mit Chef/Partner,Das muss ich mit meiner Frau abklären.,Ich sende Ihnen eine kurze Zusammenfassung zur Prüfung. Heute müssen Sie nichts entscheiden.,source-informed-de-needs_spouse_or_partner_input-002
75,Entscheidung mit Chef/Partner,Ich entscheide das nicht alleine.,Ich sende Ihnen eine kurze Zusammenfassung zur Prüfung. Heute müssen Sie nichts entscheiden.,source-informed-de-needs_spouse_or_partner_input-003
76,Nächster Schritt,"Okay, dann machen wir das so.","Gut, ich halte fest, dass Sie den nächsten Schritt möchten. Es findet hier keine Zahlung und keine Vertragsunterzeichnung statt.",source-informed-de-sale_ready_interest-001
77,Nächster Schritt,"Das klingt gut, was ist der nächste Schritt?","Gut, ich halte fest, dass Sie den nächsten Schritt möchten. Es findet hier keine Zahlung und keine Vertragsunterzeichnung statt.",source-informed-de-sale_ready_interest-002
78,Nächster Schritt,Von mir aus können wir weitermachen.,"Gut, ich halte fest, dass Sie den nächsten Schritt möchten. Es findet hier keine Zahlung und keine Vertragsunterzeichnung statt.",source-informed-de-sale_ready_interest-003
79,Nächster Schritt,"Okay, dann machen wir das so.","Gut, ich halte fest, dass Sie den nächsten Schritt möchten. Es findet hier keine Zahlung und keine Vertragsunterzeichnung statt.",source-informed-interp-de-sale_ready_interest-001
80,Nächster Schritt,"Das klingt gut, was ist der nächste Schritt?","Gut, ich halte fest, dass Sie den nächsten Schritt möchten. Es findet hier keine Zahlung und keine Vertragsunterzeichnung statt.",source-informed-interp-de-sale_ready_interest-002
81,Nächster Schritt,Von mir aus können wir weitermachen.,"Gut, ich halte fest, dass Sie den nächsten Schritt möchten. Es findet hier keine Zahlung und keine Vertragsunterzeichnung statt.",source-informed-interp-de-sale_ready_interest-003
82,Rückruf,Rufen Sie nächste Woche nochmal an.,Ich kann einen Rückruf vormerken. Das bleibt optional; heute entsteht keine Verpflichtung.,source-informed-de-callback_request-001
83,Rückruf,Melden Sie sich später noch mal.,Ich kann einen Rückruf vormerken. Das bleibt optional; heute entsteht keine Verpflichtung.,source-informed-de-callback_request-002
84,Rückruf,Können Sie mich morgen zurückrufen?,Ich kann einen Rückruf vormerken. Das bleibt optional; heute entsteht keine Verpflichtung.,source-informed-de-callback_request-003
85,Kein Interesse / nicht mehr anrufen,"Nein danke, kein Interesse.",Verstanden. Sie sollen hierzu nicht mehr angerufen werden. Ich beende den Anruf hier. Auf Wiederhören.,source-informed-de-not_interested-001
86,Kein Interesse / nicht mehr anrufen,Das ist nichts für mich.,Verstanden. Sie sollen hierzu nicht mehr angerufen werden. Ich beende den Anruf hier. Auf Wiederhören.,source-informed-de-not_interested-002
87,Kein Interesse / nicht mehr anrufen,Brauche ich nicht.,Verstanden. Sie sollen hierzu nicht mehr angerufen werden. Ich beende den Anruf hier. Auf Wiederhören.,source-informed-de-not_interested-003
88,Kein Interesse / nicht mehr anrufen,Rufen Sie mich nicht mehr an.,Verstanden. Sie sollen hierzu nicht mehr angerufen werden. Ich beende den Anruf hier. Auf Wiederhören.,source-informed-de-hostile_rejection-001
89,Kein Interesse / nicht mehr anrufen,Nehmen Sie meine Nummer aus der Liste.,Verstanden. Sie sollen hierzu nicht mehr angerufen werden. Ich beende den Anruf hier. Auf Wiederhören.,source-informed-de-hostile_rejection-002
90,Kein Interesse / nicht mehr anrufen,Ich will keine weiteren Anrufe.,Verstanden. Sie sollen hierzu nicht mehr angerufen werden. Ich beende den Anruf hier. Auf Wiederhören.,source-informed-de-hostile_rejection-003
91,Nachweis / Zweifel,"Können Sie mir garantieren, dass das funktioniert?","Ich möchte nichts garantieren, was von den Details abhängt. Ich kann das an eine zuständige Fachperson weiterleiten.",source-informed-de-skeptical_proof_request-001
92,Nachweis / Zweifel,Haben Sie dafür einen Nachweis?,"Ich möchte nichts garantieren, was von den Details abhängt. Ich kann das an eine zuständige Fachperson weiterleiten.",source-informed-de-skeptical_proof_request-002
93,Nachweis / Zweifel,Können Sie das belegen?,"Ich möchte nichts garantieren, was von den Details abhängt. Ich kann das an eine zuständige Fachperson weiterleiten.",source-informed-de-skeptical_proof_request-003
94,Produktdetails,Welcher Tarif ist das genau?,"Einen Moment, ich prüfe die Produktinformationen.",source-informed-de-product_detail_lookup-001
95,Produktdetails,Was ist in dem Paket enthalten?,"Einen Moment, ich prüfe die Produktinformationen.",source-informed-de-product_detail_lookup-002
96,Produktdetails,Welche Leistungen sind genau drin?,"Einen Moment, ich prüfe die Produktinformationen.",source-informed-de-product_detail_lookup-003
97,Terminbestätigung,Mittwoch um zehn passt.,Bestätigt. Ich notiere den Rückruf so. Auf Wiederhören.,source-informed-de-scheduling_confirmation-001
98,Terminbestätigung,Freitag gegen 14 Uhr wäre okay.,Bestätigt. Ich notiere den Rückruf so. Auf Wiederhören.,source-informed-de-scheduling_confirmation-002
99,Terminbestätigung,Dienstag nachmittags passt mir.,Bestätigt. Ich notiere den Rückruf so. Auf Wiederhören.,source-informed-de-scheduling_confirmation-003
